Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Birth Month,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Bernadette Coston,South Africa,22,164,61,F,8/17/1989,8,Johannesburg (RSA),0,0,0,0,Hockey,Women's Hockey
Kazuki Oiwa,Japan,22,182,76,M,8/17/1989,8,,0,0,0,0,Football,Men's Football
Katya Bachrouche,Lebanon,22,174,70,F,8/18/1989,8,SOUTH FIELD MICHIGAN (LIB),0,0,0,0,Swimming,Women's 800m Freestyle
Mario Montoya,Costa Rica,22,195,96,M,8/18/1989,8,San Jose (CRC),0,0,0,0,Swimming,Men's 200m Freestyle
Tim Wallburger,Germany,22,191,95,M,8/18/1989,8,Dresden (GER),0,0,0,0,Swimming,Men's 4x200m Freestyle Relay
Bashir Asgari Babajanzadeh Darzi,Islamic Republic of Iran,22,198,120,M,8/20/1989,8,BABOL (IRI),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Silas Kiplagat,Kenya,22,170,56,M,8/20/1989,8,MARAKWET (KEN),0,0,0,0,Athletics,Men's 1500m
Renee Chatterton,Australia,22,185,78,F,8/21/1989,8,,0,0,0,0,Rowing,Women's Eight
Dmitry Khvostov,Russian Federation,22,190,86,M,8/21/1989,8,,0,0,0,0,Basketball,Men's Basketball
Ekaterina Khuraskina,Russian Federation,22,165,53,F,8/21/1989,8,Moscow (RUS),0,0,0,0,Modern Pentathlon,Women's Modern Pentathlon
Tash Hind,New Zealand,22,168,60,F,8/21/1989,8,Wellington (NZL),0,0,0,0,Swimming,"Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
Cindy Roleder,Germany,22,178,68,F,8/21/1989,8,Karl,0,0,0,0,Athletics,Women's 100m Hurdles
Elyes Karamosly,Tunisia,22,194,104,M,8/22/1989,8,Tunis (TUN),0,0,0,0,Volleyball,Men's Volleyball
Josefin Olsson,Sweden,22,172,68,F,8/23/1989,8,S:T NICOLAI (SWE),0,0,0,0,Sailing,Women's Laser Radial
Etel Sanchez,Argentina,22,172,,F,8/23/1989,8,ROSARIO,0,0,0,0,Synchronised Swimming,Women's Duets
Sofia Sanchez,Argentina,22,171,,F,8/23/1989,8,ROSARIO,0,0,0,0,Synchronised Swimming,Women's Duets
Anzhelika Savrayuk,Italy,22,175,,F,8/23/1989,8,LUTSK (UKR),0,0,0,0,Gymnastics - Rhythmic,Group All-Around
Camilla Speirs,Ireland,22,158,60,F,8/23/1989,8,Dublin (IRL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, PORTERSIZE JUST A JIFF"
Alisher Gulov,Tajikistan,22,189,,M,8/24/1989,8,Dushanbe (TJK),0,0,0,0,Taekwondo,Men's +80kg
Facundo Conte,Argentina,22,198,86,M,8/25/1989,8,Buenos Aires (ARG),0,0,0,0,Volleyball,Men's Volleyball
Hiram Mier,Mexico,22,179,70,M,8/25/1989,8,,0,0,0,0,Football,Men's Football
Ali Shabanau,Belarus,22,170,66,M,8/25/1989,8,KIZILIURT (RUS),0,0,0,0,Wrestling,Men's 66kg Freestyle
James Harden,United States of America,22,196,100,M,8/26/1989,8,,0,0,0,0,Basketball,Men's Basketball
Dawid Tomala,Poland,22,182,66,M,8/27/1989,8,TYCHY (POL),0,0,0,0,Athletics,Men's 20km Race Walk
Cesar Azpilicueta,Spain,22,179,75,M,8/28/1989,8,,0,0,0,0,Football,Men's Football
Brett Fraser,Cayman Islands,22,188,84,M,8/28/1989,8,George Town (CAY),0,0,0,0,Swimming,"Men's 50m Freestyle, Men's 100m Freestyle, Men's 200m Freestyle"
Blair Hilton,New Zealand,22,181,76,M,8/28/1989,8,,0,0,0,0,Hockey,Men's Hockey
Jose Carlos Bulnes,Cuba,22,,,M,8/29/1989,8,Ciudad Habana (CUB),0,0,0,0,Canoe Sprint,Men's Canoe Double (C2) 1000m
Heena Sidhu,India,22,,,F,8/29/1989,8,LUDHIANA (IND),0,0,0,0,Shooting,Women's 10m Air Pistol
Bohdan Bondarenko,Ukraine,22,197,80,M,8/30/1989,8,Kharkiv (UKR),0,0,0,0,Athletics,Men's High Jump
Barbara Gasser,Austria,22,165,,F,8/30/1989,8,Bregenz (AUT),0,0,0,0,Gymnastics - Artistic,Women's Qualification
Sergio Munoz,Spain,22,171,,M,8/30/1989,8,SORIA (ESP),0,0,0,0,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Matiss Burgis,Latvia,22,189,75,M,8/31/1989,8,PRIEKULE (LAT),0,0,0,0,Table Tennis,Men's Singles
Andy Pereira,Cuba,22,,,M,8/31/1989,8,Ciudad Habana (CUB),0,0,0,0,Table Tennis,Men's Singles
Tameka Williams,Saint Kitts and Nevis,22,165,59,F,8/31/1989,8,Basseterre (SKN),0,0,0,0,Athletics,"Women's 100m, Women's 200m"
Jinzhe Li,People's Republic of China,22,192,78,M,9/1/1989,9,Beijing (CHN),0,0,0,0,Athletics,Men's Long Jump
Teodor Todorov,Bulgaria,22,208,94,M,9/1/1989,9,MONTANA (BUL),0,0,0,0,Volleyball,Men's Volleyball
Lucas Tramer,Switzerland,22,184,75,M,9/1/1989,9,,0,0,0,0,Rowing,Men's Lightweight Four
Adam Kszczot,Poland,22,178,68,M,9/2/1989,9,OPOCZNO (POL),0,0,0,0,Athletics,Men's 800m
Amit Ivry,Israel,22,170,67,F,9/2/1989,9,EILAT (ISR),0,0,0,0,Swimming,"Women's 100m Butterfly, Women's 200m Individual Medley"
Sol Ji Kim,Republic of Korea,22,168,57,F,9/2/1989,9,,0,0,0,0,Rowing,Women's Lightweight Double Sculls
Alexandre Rodrigues Da Silva,Brazil,22,180,77,M,9/2/1989,9,,0,0,0,0,Football,Men's Football
Ahmad Hazer,Lebanon,22,188,80,M,9/4/1989,9,Beirut (LIB),0,0,0,0,Athletics,Men's 110m Hurdles
Diego Rodriguez,Uruguay,22,177,74,M,9/4/1989,9,,0,0,0,0,Football,Men's Football
Alejandro Silva,Uruguay,22,178,69,M,9/4/1989,9,,0,0,0,0,Football,Men's Football
Glenn Surgeloose,Belgium,22,182,82,M,9/4/1989,9,Gent (BEL),0,0,0,0,Swimming,"Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
Asley Gonzalez,Cuba,22,,89,M,9/5/1989,9,Villa Clara,0,1,0,1,Judo,Men's -90kg
Sarra Lajnef,Tunisia,22,179,65,F,9/5/1989,9,Tunis (TUN),0,0,0,0,Swimming,Women's 200m Breaststroke
Audrey Deroin,France,22,176,69,F,9/6/1989,9,,0,0,0,0,Handball,Women's Handball
Tamika Domrow,Australia,22,165,,F,9/6/1989,9,Brisbane (AUS),0,0,0,0,Synchronised Swimming,Women's Teams
Elena Popescu,Republic of Moldova,22,167,52,F,9/6/1989,9,Chisinau (MDA),0,0,0,0,Athletics,Women's 800m
Abdelrahman Eltrabily,Egypt,22,190,120,M,9/7/1989,9,PORT SAID (EGY),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Elena Arzhakova,Russian Federation,22,167,54,F,9/8/1989,9,ALTAY REGION (RUS),0,0,0,0,Athletics,Women's 800m
Stefanos Dimitriadis,Greece,22,190,81,M,9/8/1989,9,Athína (GRE),0,0,0,0,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly"
Tabare Viudez,Uruguay,22,164,64,M,9/8/1989,9,,0,0,0,0,Football,Men's Football
Dominique Allen,Great Britain,22,188,86,F,9/10/1989,9,,0,0,0,0,Basketball,Women's Basketball
Colin Cheng,Singapore,22,175,80,M,9/10/1989,9,Singapore (SIN),0,0,0,0,Sailing,Men's Laser
Yuliya Khitraya,Belarus,22,180,66,F,9/11/1989,9,BARANOVICHI (BLR),0,0,0,0,Swimming,Women's 4x100m Freestyle Relay
Abraham Acevedo,Paraguay,22,,65,M,9/12/1989,9,ASUNCION,0,0,0,0,Judo,Men's -66kg
Aki Mitsuhashi,Japan,22,166,55,F,9/12/1989,9,KURIHARA (JPN),0,0,0,0,Hockey,Women's Hockey
Daniel Arnamnart,Australia,22,178,80,M,9/14/1989,9,WAHROONGA (AUS),0,0,0,0,Swimming,"Men's 100m Backstroke, Men's 4x100m Medley Relay"
Eleonora Giorgi,Italy,22,162,52,F,9/14/1989,9,Milano (ITA),0,0,0,0,Athletics,Women's 20km Race Walk
Khalid Eisa Mohamed,United Arab Emirates,22,178,74,M,9/15/1989,9,,0,0,0,0,Football,Men's Football
Yasnier Toledo Lopez,Cuba,22,,,M,9/15/1989,9,,0,0,0,0,Boxing,Men's Light (60kg)
Ashwini Ponnappa,India,22,,,F,9/18/1989,9,HYDERABAD,0,0,0,0,Badminton,Women's Doubles
Serge Ibaka,Spain,22,208,107,M,9/18/1989,9,,0,0,0,0,Basketball,Men's Basketball
Jane Ross,Great Britain,22,167,57,F,9/18/1989,9,,0,0,0,0,Football,Women's Football
Riaan Schoeman,South Africa,22,176,72,M,9/18/1989,9,VEREENIGING (RSA),0,0,0,0,Swimming,Men's 400m Individual Medley
Etienne Daille,France,22,177,65,M,9/19/1989,9,Prague (CZE),0,0,0,0,Canoe Slalom,Men's Kayak (K1)
Madalena Felix,Angola,22,179,78,F,9/20/1989,9,,0,0,0,0,Basketball,Women's Basketball
Cameron Hammond,Australia,22,179,,M,9/20/1989,9,Moree (AUS),0,0,0,0,Boxing,Men's Welter (69kg)
Paula Klamburg Roque,Spain,22,171,,F,9/20/1989,9,Barcelona (ESP),0,0,0,0,Synchronised Swimming,Women's Teams
Margarita Nesterova,Russian Federation,22,168,56,F,9/20/1989,9,TADZHIKISTAN REGION (),0,0,0,0,Swimming,Women's 4x100m Freestyle Relay
Martin Rodriguez,Uruguay,22,191,84,M,9/20/1989,9,,0,0,0,0,Football,Men's Football
Ysis Sonkeng,Cameroon,22,165,68,F,9/20/1989,9,,0,0,0,0,Football,Women's Football
Svetlana Romashina,Russian Federation,22,173,,F,9/21/1989,9,Moscow (RUS),0,0,0,0,Synchronised Swimming,"Women's Duets, Women's Teams"
Pitaya Tibnoke,Thailand,22,176,84,M,9/21/1989,9,SURIN,0,0,0,0,Weightlifting,Men's 85kg
Malgorzata Wojtyra,Poland,22,176,70,F,9/21/1989,9,Szczecin (POL),0,0,0,0,Cycling - Track,Women's Omnium
Audrey Cordon,France,22,170,60,F,9/22/1989,9,PONTIVY (FRA),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Tim Leathart,Australia,22,180,80,M,9/22/1989,9,DARLINGHURST (AUS),0,0,0,0,Athletics,Men's 4 x 100m Relay
Sabine Lisicki,Germany,22,178,70,F,9/22/1989,9,,0,0,0,0,Tennis,"Women's Singles, Women's Doubles, Mixed Doubles"
Saso Taljat,Slovenia,22,173,70,M,9/22/1989,9,SEMPETER PRI GORICI (SLO),0,0,0,0,Canoe Slalom,Men's Canoe Double (C2)
Michael Arms,New Zealand,22,199,95,M,9/23/1989,9,,0,0,0,0,Rowing,Men's Quadruple Sculls
Lisa Hahn,Germany,22,157,57,F,9/23/1989,9,MÖNCHENGLADBACH (GER),0,0,0,0,Hockey,Women's Hockey
Hanna Knyazyeva,Ukraine,22,179,67,F,9/25/1989,9,Kyiv Region (UKR),0,0,0,0,Athletics,Women's Triple Jump
Samantha Murray,Great Britain,22,174,59,F,9/25/1989,9,Preston (GBR),0,0,0,0,Modern Pentathlon,Women's Modern Pentathlon
Fernanda Silva,Brazil,22,176,68,F,9/25/1989,9,,0,0,0,0,Handball,Women's Handball
James Feigen,United States of America,22,196,98,M,9/26/1989,9,HILO (USA),0,1,0,1,Swimming,Men's 4x100m Freestyle Relay
Idrissa Gueye,Senegal,22,174,66,M,9/26/1989,9,,0,0,0,0,Football,Men's Football
Yuliya Ostapchuk,Ukraine,22,167,63,F,9/26/1989,9,KOVEL (UKR),0,0,0,0,Wrestling,Women's 63kg Freestyle
Hyunsung Kim,Republic of Korea,22,186,77,M,9/27/1989,9,,0,0,0,0,Football,Men's Football
Idalys Ortiz,Cuba,22,,95,F,9/27/1989,9,Pinar del Rio,1,0,0,1,Judo,Women's +78kg
Jeneba Tarmoh,United States of America,22,165,59,F,9/27/1989,9,Los Angeles (USA),0,0,0,0,Athletics,Women's 4 x 100m Relay
Taehwan Park,Republic of Korea,22,183,76,M,9/27/1989,9,Seoul (KOR),0,2,0,2,Swimming,"Men's 200m Freestyle, Men's 400m Freestyle, Men's 1500m Freestyle"
Marcus Gross,Germany,22,182,85,M,9/28/1989,9,,0,0,0,0,Canoe Sprint,Men's Kayak Four (K4) 1000m
Raphael Holzdeppe,Germany,22,181,80,M,9/28/1989,9,KAISERSLAUTERN (GER),0,0,0,0,Athletics,Men's Pole Vault
Tanel Laanmae,Estonia,22,184,89,M,9/29/1989,9,VALGA (EST),0,0,0,0,Athletics,Men's Javelin Throw
Driss Fettouhi,Morocco,22,178,74,M,9/30/1989,9,,0,0,0,0,Football,Men's Football
Joel Gonzalez Bonilla,Spain,22,185,,M,9/30/1989,9,FIGUERES (ESP),0,0,0,0,Taekwondo,Men's -58kg
Maria Virginia Zonta,Argentina,22,170,64,F,9/30/1989,9,,0,0,0,0,Beach Volleyball,Women's Beach Volleyball
Mannad Zeid,Egypt,22,186,70,M,10/1/1989,10,,0,0,0,0,Fencing,Men's Individual Sabre
George Nash,Great Britain,22,195,97,M,10/2/1989,10,,0,0,1,1,Rowing,Men's Pair
Haley Nemra,Marshall Islands,22,168,59,F,10/4/1989,10,Washington (USA),0,0,0,0,Athletics,Women's 800m
Alexa Komarnycky,Canada,22,180,68,F,10/5/1989,10,Toronto (CAN),0,0,0,0,Swimming,Women's 800m Freestyle
Bokyung Kim,Republic of Korea,22,178,73,M,10/6/1989,10,,0,0,0,0,Football,Men's Football
Ekaterina Lisunova,Russian Federation,22,174,62,F,10/6/1989,10,Lviv (),0,0,0,0,Water Polo,Women's Water Polo
Nicholas Long,United States of America,22,188,88,M,10/6/1989,10,San Diego (USA),0,0,0,0,Cycling - BMX,Men's BMX
Jack Waller,Great Britain,22,187,95,M,10/6/1989,10,WELWYN GARDEN CITY (GBR),0,0,0,0,Water Polo,Men's Water Polo
Wei Wei,People's Republic of China,22,207,90,F,10/6/1989,10,,0,0,0,0,Basketball,Women's Basketball
Dmitriy Kim,Uzbekistan,22,178,,M,10/7/1989,10,Tashkent (UZB),0,0,0,0,Taekwondo,Men's -68kg
Valentin Verga,Netherlands,22,179,84,M,10/7/1989,10,,0,0,0,0,Hockey,Men's Hockey
Edgar Cortez,Nicaragua,22,170,55,M,10/8/1989,10,SANTA TERESA (NCA),0,0,0,0,Athletics,Men's 800m
Melanie Mccann,Canada,22,173,58,F,10/8/1989,10,CLINTON (CAN),0,0,0,0,Modern Pentathlon,Women's Modern Pentathlon
Max Hartung,Germany,22,190,88,M,10/8/1989,10,,0,0,0,0,Fencing,"Men's Individual Sabre, Men's Team Sabre"
Liborio Sanchez,Mexico,22,181,77,M,10/9/1989,10,,0,0,0,0,Football,Men's Football
Amarachi Favour Obiajunwa,Nigeria,22,,72,F,10/10/1989,10,UMUSOICHIE (NGR),0,0,0,0,Wrestling,Women's 72kg Freestyle
Riza Kayaalp,Turkey,22,181,120,M,10/10/1989,10,YOZGAT (TUR),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Kemar Hyman,Cayman Islands,22,178,74,M,10/11/1989,10,George Town (CAY),0,0,0,0,Athletics,Men's 100m
Robert Manson,New Zealand,22,188,89,M,10/11/1989,10,,0,0,0,0,Rowing,Men's Quadruple Sculls
Jessica Smith,Canada,22,174,52,F,10/11/1989,10,North Vancouver (CAN),0,0,0,0,Athletics,Women's 800m
Paulo Henrique Chagas De Lima,Brazil,22,184,78,M,10/12/1989,10,,0,0,0,0,Football,Men's Football
Christina Giazitzidou,Greece,22,168,59,F,10/12/1989,10,,0,0,0,0,Rowing,Women's Lightweight Double Sculls
Mark Anthony,Australia,22,187,90,M,10/13/1989,10,MALANG (INA),0,0,0,0,Judo,Men's -90kg
Ayhan Karakus,Turkey,22,165,55,M,10/13/1989,10,Sivas (TUR),0,0,0,0,Wrestling,Men's 55kg Greco-Roman
Warren Weir,Jamaica,22,178,75,M,10/13/1989,10,Trelawny (JAM),0,0,0,0,Athletics,Men's 200m
Piotr Brzozka,Poland,22,174,64,M,10/14/1989,10,RYDULTOWY (POL),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Katerina Elhotova,Czech Republic,22,180,68,F,10/14/1989,10,,0,0,0,0,Basketball,Women's Basketball
Aly Lotfi,Egypt,22,187,79,M,10/14/1989,10,,0,0,0,0,Football,Men's Football
Delfina Merino,Argentina,22,169,59,F,10/15/1989,10,Buenos Aires (ARG),0,0,0,0,Hockey,Women's Hockey
Anthony Joshua,Great Britain,22,198,,M,10/15/1989,10,,0,0,0,0,Boxing,Men's Super Heavy (+91kg)
Angie Bainbridge,Australia,22,181,67,F,10/16/1989,10,NEWCASTLE (AUS),0,1,0,1,Swimming,Women's 4x200m Freestyle Relay
Magomed Omarov,Russian Federation,22,195,,M,10/16/1989,10,DAGESTAN REGION (RUS),0,0,0,0,Boxing,Men's Super Heavy (+91kg)
Shiho Otsuka,Japan,22,158,52,F,10/16/1989,10,NITA (JPN),0,0,0,0,Hockey,Women's Hockey
Laurent Carnol,Luxembourg,22,186,80,M,10/17/1989,10,ETTELBRUCK (LUX),0,0,0,0,Swimming,"Men's 100m Breaststroke, Men's 200m Breaststroke"
Bojan Durkovic,Croatia,22,180,83,M,10/17/1989,10,BJELOVAR (CRO),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Federico Gaston Fernandez,Argentina,22,188,92,M,10/17/1989,10,,0,0,0,0,Handball,Men's Handball
Grace Gao,Canada,22,168,56,F,10/17/1989,10,Beijing,0,0,0,0,Badminton,Mixed Doubles
Oleksandr Isakov,Ukraine,22,184,73,M,10/17/1989,10,Ivano,0,0,0,0,Swimming,"Men's 100m Backstroke, Men's 200m Backstroke"
Sostene Moguenara,Germany,22,180,66,F,10/17/1989,10,SARH (CHA),0,0,0,0,Athletics,Women's Long Jump
Lauren Wilkinson,Canada,22,180,73,F,10/17/1989,10,,0,1,0,1,Rowing,Women's Eight
Matthew Centrowitz,United States of America,22,175,60,M,10/18/1989,10,BELTSVILLE (USA),0,0,0,0,Athletics,Men's 1500m
Fernando Lumain,Indonesia,22,183,76,M,10/18/1989,10,TONDANO (INA),0,0,0,0,Athletics,Men's 100m
Francielle Manoel Alberto,Brazil,22,162,61,F,10/18/1989,10,,0,0,0,0,Football,Women's Football
Jamele Mason,Puerto Rico,22,,,M,10/19/1989,10,TEXAS (USA),0,0,0,0,Athletics,Men's 400m Hurdles
Sophie Bradley,Great Britain,22,169,59,F,10/20/1989,10,,0,0,0,0,Football,Women's Football
Gurwinder Singh Chandi,India,22,,,M,10/20/1989,10,,0,0,0,0,Hockey,Men's Hockey
Mare Dibaba,Ethiopia,22,151,38,F,10/20/1989,10,Shoa (ETH),0,0,0,0,Athletics,Women's Marathon
Yanina Wickmayer,Belgium,22,182,72,F,10/20/1989,10,,0,0,0,0,Tennis,Women's Singles
Arakel Mirzoyan,Armenia,22,168,69,M,10/21/1989,10,BAGHRAMYAN,0,0,0,0,Weightlifting,Men's 69kg
Mikhail Gordeichuk,Belarus,22,173,65,M,10/23/1989,10,,0,0,0,0,Football,Men's Football
Anisya Kirdyapkina,Russian Federation,22,164,47,F,10/23/1989,10,MORDOVIA REGION (RUS),0,0,0,0,Athletics,Women's 20km Race Walk
T'erea Brown,United States of America,22,175,64,F,10/24/1989,10,Charleston (USA),0,0,0,0,Athletics,Women's 400m Hurdles
Elias Malave,Venezuela,22,179,72,M,10/26/1989,10,MATURIN,0,0,0,0,Archery,Men's Individual
Ye Gyong Ri,Democratic People's Republic  of Korea,22,163,59,F,10/26/1989,10,,0,0,0,0,Football,Women's Football
Jinhui Ding,People's Republic of China,22,204,100,M,10/27/1989,10,,0,0,0,0,Basketball,Men's Basketball
Emanuele Fuamatu,Samoa,22,182,100,M,10/27/1989,10,Sydney (AUS),0,0,0,0,Athletics,Men's Shot Put
Soufian El Hassnaoui,Morocco,22,186,78,M,10/28/1989,10,,0,0,0,0,Football,Men's Football
Camille Muffat,France,22,183,71,F,10/28/1989,10,Nice (FRA),1,1,1,3,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Sulette Damons,South Africa,22,163,57,F,10/30/1989,10,GRAAFF,0,0,0,0,Hockey,Women's Hockey
Sumeyye Manz,Germany,22,164,,F,10/30/1989,10,Nurnberg (GER),0,0,0,0,Taekwondo,Women's -49kg
Amaechi Morton,Nigeria,22,,,M,10/30/1989,10,CALABAR (NGR),0,0,0,0,Athletics,Men's 400m Hurdles
Alexandru Coci,Romania,22,174,70,M,10/31/1989,10,BAIA MARE (ROU),0,0,0,0,Swimming,Men's 200m Butterfly
Mihail Dudas,Serbia,22,184,84,M,11/1/1989,11,Novi Sad (SRB),0,0,0,0,Athletics,Men's Decathlon
Katherine Reinprecht,United States of America,22,163,56,F,11/1/1989,11,Philadelphia (USA),0,0,0,0,Hockey,Women's Hockey
Yon Hui Jong,Democratic People's Republic  of Korea,22,163,,F,11/2/1989,11,Pyongyang (PRK),0,0,0,0,Synchronised Swimming,Women's Duets
Chunlei Zeng,People's Republic of China,22,186,77,F,11/3/1989,11,Beijing (CHN),0,0,0,0,Volleyball,Women's Volleyball
Saeid Morad Abdvali,Islamic Republic of Iran,22,170,66,M,11/4/1989,11,ANDIMESHK (IRI),0,0,0,0,Wrestling,Men's 66kg Greco-Roman
Hui Ju,Republic of Korea,22,180,68,F,11/4/1989,11,,0,0,0,0,Handball,Women's Handball
Damian Warner,Canada,22,184,83,M,11/4/1989,11,London (CAN),0,0,0,0,Athletics,Men's Decathlon
Antony James,Great Britain,22,180,75,M,11/5/1989,11,Plymouth (GBR),0,0,0,0,Swimming,Men's 100m Butterfly
Fabienne Kohlmann,Germany,22,170,58,F,11/6/1989,11,Wurzburg (GER),0,0,0,0,Athletics,Women's 4 x 400m Relay
Job Kienhuis,Netherlands,22,192,83,M,11/7/1989,11,Oldenzaal (NED),0,0,0,0,Swimming,Men's 1500m Freestyle
Yukiko Ebata,Japan,22,176,70,F,11/7/1989,11,Akita (JPN),0,0,0,0,Volleyball,Women's Volleyball
Ioannis Mitakis,Greece,22,186,95,M,11/8/1989,11,Marousi (GRE),0,0,0,0,Sailing,Men's Finn
Adam White,Australia,22,203,90,M,11/8/1989,11,EVERTON PARK (AUS),0,0,0,0,Volleyball,Men's Volleyball
Xing Han,Congo,22,165,58,F,11/8/1989,11,Brazzaville (CGO),0,0,0,0,Table Tennis,Women's Singles
Daiki Kamikawa,Japan,22,185,140,M,11/9/1989,11,Yamaguchi (JPN),0,0,0,0,Judo,Men's +100kg
Lucinda Whitty,Australia,22,167,63,F,11/9/1989,11,DARLINGHURST (AUS),0,0,0,0,Sailing,Women's Elliott 6m
Kathryn Fudge,Great Britain,22,183,70,F,11/10/1989,11,,0,0,0,0,Handball,Women's Handball
Martin Sinkovic,Croatia,22,188,95,M,11/10/1989,11,,0,1,0,1,Rowing,Men's Quadruple Sculls
Sarah-Lynn Wells,Canada,22,167,56,F,11/10/1989,11,Markham (CAN),0,0,0,0,Athletics,Women's 400m Hurdles
Branden Whitehurst,"Virgin Islands, US",22,185,81,M,11/10/1989,11,Florida (USA),0,0,0,0,Swimming,Men's 100m Freestyle
Sofia Mattsson,Sweden,22,164,55,F,11/11/1989,11,Gallivare (SWE),0,0,0,0,Wrestling,Women's 55kg Freestyle
Asumi Ohmura,Japan,22,167,62,F,11/11/1989,11,KAWANEHONCHO (JPN),0,0,0,0,Canoe Sprint,Women's Kayak Double (K2) 500m
Giacomo Perez-Dortona,France,22,183,82,M,11/11/1989,11,LA SEYNE SUR MER (FRA),0,0,0,0,Swimming,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
Zargo Toure,Senegal,22,185,74,M,11/11/1989,11,,0,0,0,0,Football,Men's Football
Kyeongae Kim,Republic of Korea,22,162,55,F,11/12/1989,11,Daegu (KOR),0,0,0,0,Shooting,Women's 25m Pistol
Hiroshi Kiyotake,Japan,22,172,66,M,11/12/1989,11,,0,0,0,0,Football,Men's Football
Alex Feneridis,New Zealand,22,186,77,M,11/13/1989,11,,0,0,0,0,Football,Men's Football
Maksim Skavysh,Belarus,22,183,73,M,11/13/1989,11,,0,0,0,0,Football,Men's Football
Hasan Aliyev,Azerbaijan,22,170,60,M,11/14/1989,11,GAZAKH (AZE),0,0,0,0,Wrestling,Men's 60kg Greco-Roman
Casey Eichfeld,United States of America,22,178,70,M,11/15/1989,11,Harrisburg (USA),0,0,0,0,Canoe Slalom,Men's Canoe Single (C1)
Natasha Hansen,New Zealand,22,167,68,F,11/15/1989,11,Takapuna (NZL),0,0,0,0,Cycling - Track,"Women's Sprint, Women's Keirin"
Abigail Johnston,United States of America,22,165,61,F,11/16/1989,11,UPPER ARLINGTON (USA),0,1,0,1,Diving,Women's Synchronised 3m Springboard
Marthe Enger Eide,Norway,22,,,F,11/17/1989,11,Baerum (NOR),0,0,0,0,Sailing,Women's Laser Radial
Remy Ebanega,Gabon,22,178,78,M,11/17/1989,11,,0,0,0,0,Football,Men's Football
Konstantin Shabanov,Russian Federation,22,184,75,M,11/17/1989,11,Pskov (RUS),0,0,0,0,Athletics,Men's 110m Hurdles
Mohammed Bemammer,Morocco,22,184,74,M,11/19/1989,11,,0,0,0,0,Football,Men's Football
Omar Cisneros,Cuba,22,,,M,11/19/1989,11,Camaguey (CUB),0,0,0,0,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay"
Marion Lotout,France,22,165,50,F,11/19/1989,11,Saint Brieuc (FRA),0,0,0,0,Athletics,Women's Pole Vault
Humberto Daniel Arencibia Martinez,Cuba,22,,,M,11/20/1989,11,Pinar del Rio (CUB),0,0,0,0,Wrestling,Men's 84kg Freestyle
Edwin Alcibiades Avila Vanegas,Colombia,22,167,63,M,11/21/1989,11,CALI (COL),0,0,0,0,Cycling - Track,Men's Team Pursuit
Darvin Chavez,Mexico,22,177,74,M,11/21/1989,11,,0,0,0,0,Football,Men's Football
Han Na Gwon,Republic of Korea,22,172,61,F,11/22/1989,11,,0,0,0,0,Handball,Women's Handball
Kara Mbodji,Senegal,22,192,85,M,11/22/1989,11,,0,0,0,0,Football,Men's Football
Farkhod Negmatov,Tajikistan,22,188,,M,11/22/1989,11,VAHDAT (TJK),0,0,0,0,Taekwondo,Men's -80kg
Margot van Geffen,Netherlands,22,171,63,F,11/23/1989,11,Tilburg (NED),0,0,0,0,Hockey,Women's Hockey
Dejen Gebremeskel,Ethiopia,22,178,57,M,11/24/1989,11,Tigray (ETH),0,0,0,0,Athletics,Men's 5000m
Sheniqua Ferguson,Bahamas,22,,,F,11/24/1989,11,Nassau (BAH),0,0,0,0,Athletics,"Women's 100m, Women's 200m, Women's 4 x 100m Relay"
Gideon van Zyl,South Africa,22,180,73,M,11/24/1989,11,Johannesburg (RSA),0,0,0,0,Judo,Men's -73kg
Hanna Yaroshchuk,Ukraine,22,176,57,F,11/24/1989,11,Dnipropetrovsk (UKR),0,0,0,0,Athletics,Women's 400m Hurdles
Shih-Chieh Chen,Taipei (Chinese Taipei),22,187,140,M,11/27/1989,11,PINGTUNG (TPE),0,0,0,0,Weightlifting,Men's +105kg
Fatih Keles,Turkey,22,175,,M,11/27/1989,11,,0,0,0,0,Boxing,Men's Light (60kg)
Arantxa King,Bermuda,22,175,65,F,11/27/1989,11,Paget (BER),0,0,0,0,Athletics,Women's Long Jump
Elyzaveta Bryzgina,Ukraine,22,172,56,F,11/28/1989,11,LUGANS'K (UKR),0,0,0,0,Athletics,"Women's 200m, Women's 4 x 100m Relay"
